Time,Pressure,Temperature,Humidity
314721,100539,1664,3628
315062,100544,1667,3632
315403,100541,1668,3628
315745,100537,1670,3625
316089,100538,1675,3622
316431,100536,1677,3619
316775,100537,1678,3627
317119,100534,1678,3629
317461,100533,1679,3632
317818,100534,1681,3644
318180,100536,1681,3665
318527,100537,1681,3682
318879,100537,1683,3703
319220,100540,1685,3714
319565,100542,1686,3720
319928,100543,1687,3724
320270,100541,1690,3727
320612,100541,1693,3730
320953,100541,1694,3733
321296,100541,1695,3737
321646,100542,1698,3737
321989,100540,1695,3737
322329,100543,1694,3733
322669,100538,1695,3732
323012,100542,1699,3731
323353,100539,1702,3730
323695,100542,1706,3729
324036,100541,1709,3729
324631,100540,1712,3719
324972,100541,1714,3697
325313,100540,1715,3677
325657,100539,1717,3664
325998,100539,1718,3647
326339,100540,1719,3625
326680,100538,1717,3601
327020,100540,1715,3586
327360,100541,1716,3577
327700,100540,1718,3570
328040,100540,1720,3565
328380,100544,1721,3557
328721,100543,1721,3554
329061,100540,1724,3556
329401,100540,1724,3559
329741,100546,1727,3566
330081,100542,1729,3573
330421,100544,1733,3588
330761,100540,1734,3602
331101,100538,1732,3619
331441,100542,1732,3628
331781,100541,1735,3632
332121,100543,1737,3611
332461,100542,1740,3631
332802,100538,1743,3634
333143,100537,1745,3628
333484,100540,1744,3610
333825,100537,1740,3582
334166,100542,1739,3565
334507,100536,1742,3554
334848,100534,1745,3549
335188,100537,1748,3542
335529,100535,1751,3539
335872,100531,1753,3548
336384,100511,1737,3540
336724,100534,1746,3533
337065,100529,1749,3529
337406,100535,1750,3523
337747,100534,1750,3514
338088,100532,1749,3509
338430,100532,1749,3507
338772,100533,1751,3507
339115,100538,1753,3504
339456,100528,1751,3491
339798,100527,1752,3478
340140,100530,1752,3471
340481,100533,1754,3464
340823,100531,1756,3456
341165,100530,1759,3445
341506,100531,1762,3441
341847,100534,1764,3434
342189,100530,1761,3433
342530,100530,1761,3430
342871,100527,1754,3426
343212,100532,1759,3419
343553,100533,1762,3412
343895,100528,1764,3406
344236,100528,1768,3402
344577,100528,1770,3387
344919,100527,1770,3378
345261,100522,1770,3374
345603,100520,1770,3372
345603,100520,1770,3372
346030,100533,1770,3377
346373,100533,1767,3377
346713,100528,1765,3383
347224,100531,1760,3395
347565,100529,1761,3398
347906,100533,1765,3402
348247,100533,1770,3402
348588,100526,1770,3399
348929,100528,1770,3395
349270,100533,1770,3393
349612,100533,1768,3394
349953,100534,1765,3396
350294,100535,1768,3395
350635,100535,1773,3394
351085,100538,1777,3392
351425,100537,1779,3392
351765,100534,1782,3394
352105,100537,1779,3403
352445,100536,1779,3418
352785,100543,1779,3430
353125,100541,1779,3419
353465,100541,1778,3449
353806,100538,1777,3465
354146,100542,1779,3492
354487,100541,1779,3515
354829,100540,1781,3535
355170,100541,1782,3553
355511,100543,1785,3559
356021,100540,1787,3547
356373,100543,1781,3523
356714,100540,1776,3512
357056,100540,1774,3497
357397,100539,1770,3488
357738,100542,1771,3483
358079,100541,1774,3477
358420,100539,1776,3469
358761,100540,1779,3470
359186,100538,1781,3475
359527,100536,1785,3481
359868,100541,1787,3482
360209,100539,1791,3480
360550,100540,1795,3477
360891,100541,1795,3475
361232,100542,1795,3471
361572,100543,1798,3469
361912,100545,1801,3466
362252,100540,1799,3460
362593,100545,1801,3471
362934,100544,1802,3482
363275,100543,1804,3498
363617,100544,1806,3505
363958,100548,1807,3484
364299,100543,1804,3452
364639,100547,1799,3420
364979,100548,1795,3405
365489,100545,1795,3403
365829,100543,1799,3408
366169,100545,1804,3410
366509,100547,1807,3410
366850,100544,1811,3412
367191,100544,1812,3407
367532,100543,1814,3409
367873,100543,1815,3404
368299,100543,1818,3397
368640,100541,1820,3393
368980,100541,1820,3387
369321,100543,1824,3384
369662,100537,1824,3364
370004,100534,1825,3390
370345,100542,1827,3397
370686,100540,1828,3403
371027,100542,1829,3408
371368,100540,1829,3411
371800,100539,1834,3412
372141,100537,1835,3420
372482,100535,1836,3424
372824,100530,1839,3426
373165,100534,1844,3430
373506,100528,1845,3428
373847,100523,1845,3427
374188,100528,1851,3425
374529,100518,1848,3425
374870,100524,1857,3424
375211,100526,1859,3424
375552,100526,1862,3425
375892,100521,1862,3426
376233,100527,1867,3432
376574,100520,1868,3428
376915,100522,1869,3424
377256,100518,1870,3424
377597,100517,1873,3418
377938,100521,1875,3400
378279,100519,1875,3392
378620,100520,1878,3382
378961,100521,1879,3378
379302,100518,1882,3373
