Time,Ping time,RSSI
206628,26,-37
206963,26,-40
207298,26,-38
207968,25,-41
208303,25,-35
208974,26,-34
209309,26,-33
209644,26,-35
209979,25,-34
210314,25,-35
210649,25,-41
210984,26,-41
211655,26,-34
211990,26,-36
212325,25,-37
213082,25,-33
213417,26,-33
213753,26,-36
214088,26,-37
214423,26,-36
214758,26,-37
215093,25,-35
215428,25,-35
215763,26,-35
216099,26,-32
216773,26,-31
217461,26,-29
217796,26,-31
218131,26,-32
218466,25,-30
218801,25,-31
219136,25,-31
219471,26,-31
219806,26,-31
220476,26,-31
220811,25,-31
221146,25,-30
221481,26,-31
221817,26,-31
222152,26,-30
222822,26,-30
223157,25,-31
223492,25,-31
223827,26,-32
224163,26,-30
224921,26,-31
225256,26,-29
225591,25,-30
225926,25,-30
226262,25,-31
226597,26,-31
226933,26,-31
227268,26,-29
227603,27,-27
227938,25,-26
228273,25,-31
228943,26,-30
229278,26,-31
229613,26,-26
229948,26,-23
230283,25,-30
230618,25,-32
231319,26,-31
231654,26,-32
231989,25,-32
232659,28,-30
232995,29,-30
233330,28,-31
233665,36,-30
234000,27,-30
234335,33,-31
234670,48,-31
235765,26,-30
236100,26,-30
236435,26,-31
236770,25,-31
237440,25,-25
237775,26,-30
238110,26,-31
238445,26,-30
238780,26,-31
239115,25,-31
239450,25,-31
239785,26,-31
240456,26,-31
240791,26,-30
241126,26,-29
241461,25,-31
241796,25,-30
242131,26,-30
242467,27,-32
242802,27,-31
243137,26,-31
243472,25,-30
243807,25,-30
244566,25,-31
244901,26,-32
245237,26,-32
245572,26,-32
245907,26,-31
246242,25,-31
246577,25,-31
247247,26,-32
247917,26,-31
248252,26,-31
248587,25,-32
248922,25,-31
249257,26,-31
249593,26,-31
249928,26,-32
250263,26,-30
250598,26,-30
250933,25,-31
251268,25,-31
251603,26,-31
251939,26,-32
252274,26,-31
252609,26,-30
252944,25,-31
253279,25,-32
254036,26,-31
254372,26,-30
255042,26,-31
255377,26,-31
256047,25,-31
256718,26,-32
257053,26,-31
257388,26,-32
257723,25,-32
258393,25,-32
258728,26,-31
259064,26,-31
259399,26,-30
259734,26,-31
260404,25,-32
260739,25,-30
261074,26,-31
262080,26,-31
262750,25,-31
263085,25,-27
263420,26,-27
263756,26,-31
264091,26,-31
264426,26,-32
264761,25,-30
265096,25,-28
265431,25,-32
265766,26,-26
266102,26,-31
266437,26,-31
266772,26,-30
267107,25,-31
267442,25,-28
268112,26,-31
268448,26,-31
268783,26,-31
269453,25,-31
270123,25,-28
270458,26,-31
271160,25,-30
271495,25,-31
271830,25,-31
272165,26,-30
272501,26,-27
272836,26,-32
273171,26,-30
273506,25,-30
273841,25,-30
274511,26,-31
274846,26,-32
275181,26,-34
275516,26,-41
275851,25,-43
276186,25,-39
276521,26,-39
276857,26,-41
277192,26,-45
277527,26,-45
278197,25,-42
278532,25,-41
278867,26,-40
279203,26,-51
279959,26,-57
280294,26,-58
280629,25,-79
280964,25,-71
281299,26,-63
281635,26,-62
281970,26,-63
282990,26,-59
283325,26,-59
283995,25,-58
284331,25,-69
284666,26,-59
285002,26,-65
285337,26,-63
285672,26,-60
286007,25,-62
286342,25,-58
286678,25,-63
287013,26,-60
287349,26,-60
287684,26,-66
288019,26,-66
288354,25,-81
288689,25,-72
289024,25,-68
289359,26,-64
289694,26,-81
290029,26,-78
290364,26,-76
290699,25,-82
291034,25,-66
291369,26,-65
291705,26,-73
292040,26,-71
292375,26,-79
292710,26,-82
293045,25,-77
294051,26,-74
294721,26,-71
295056,25,-72
295391,25,-64
295726,25,-63
296427,26,-61
297097,25,-57
297432,25,-63
297767,26,-59
298103,26,-65
298773,26,-66
299108,25,-64
299443,25,-60
299778,25,-64
300113,26,-64
300449,26,-66
300784,26,-69
301119,26,-66
301454,25,-71
301789,25,-71
302488,26,-67
302823,26,-62
303158,25,-59
303493,25,-60
303828,26,-62
304164,26,-62
304499,26,-65
304834,26,-63
305169,26,-62
305504,25,-64
305839,25,-61
306174,26,-65
306845,25,-65
307180,26,-72
307515,25,-65
307850,25,-62
308185,25,-64
308520,26,-59
308856,26,-65
309191,26,-62
309526,26,-66
309861,25,-66
310196,25,-59
310866,26,-63
311202,26,-62
311537,26,-60
311872,26,-61
312207,25,-62
312910,26,-59
313245,26,-63
313942,25,-66
314277,26,-60
314613,26,-57
315283,26,-63
315618,25,-57
315953,25,-55
316288,25,-56
316623,26,-58
316958,26,-60
317293,26,-63
317628,26,-58
317963,25,-65
318298,25,-66
318633,30,-60
318974,26,-58
319310,26,-61
319645,26,-76
321003,26,-65
321338,25,-66
321673,25,-66
322008,25,-65
322343,26,-68
322679,26,-58
323014,26,-57
323349,26,-59
323684,25,-55
324019,25,-60
324354,25,-60
324689,26,-60
325025,26,-57
325695,26,-68
326030,24,-71
326365,25,-71
326700,25,-74
327371,26,-72
327706,26,-68
328041,26,-73
328733,26,-73
329068,26,-62
329403,25,-59
329738,25,-68
330073,25,-76
330744,26,-70
331079,25,-69
331414,26,-61
331749,25,-62
332777,26,-63
333799,26,-80
334134,25,-60
334469,25,-75
335475,26,-62
335810,26,-63
336145,26,-62
336480,25,-63
337150,26,-62
337486,25,-73
337821,25,-71
338156,26,-69
338491,25,-72
338826,25,-69
339161,25,-66
339496,26,-65
339832,26,-65
340167,26,-65
340502,26,-76
340837,24,-66
341172,25,-70
341507,25,-71
341842,26,-71
342539,25,-71
342874,25,-74
343209,26,-60
343545,26,-64
343880,26,-60
344215,26,-68
344550,26,-75
344885,25,-80
345555,26,-71
345891,26,-75
346226,26,-72
346561,26,-67
346896,25,-74
347231,25,-76
347566,25,-61
347901,25,-61
348572,25,-66
348907,26,-68
349242,25,-76
349577,25,-67
349914,26,-64
350588,26,-71
350924,26,-70
351594,26,-69
351929,25,-65
352599,24,-69
352934,25,-70
353270,26,-69
353940,26,-74
354275,25,-75
354610,24,-77
354945,25,-66
355616,25,-73
355951,25,-75
356286,25,-69
356621,25,-73
356956,25,-74
358297,25,-75
358967,24,-73
359302,24,-76
360309,26,-76
360979,26,-77
361314,25,-80
361649,25,-84
362319,25,-84
362989,26,-83
363659,25,-79
363994,25,-81
364665,25,-83
365000,25,-86
365335,25,-84
366340,25,-76
366675,25,-79
367011,26,-74
367346,26,-69
367681,26,-68
368016,25,-73
368351,25,-71
368686,25,-76
369021,26,-74
369357,26,-73
369692,26,-74
370027,26,-78
370362,24,-74
371367,25,-79
372373,25,-77
372708,24,-71
373043,24,-76
373378,24,-79
373713,25,-78
374384,25,-75
375054,25,-78
375389,25,-78
375724,24,-76
376059,25,-82
376761,24,-94
377766,25,-85
378102,25,-85
378772,26,-73
379107,25,-76
379442,25,-77
379777,24,-71
380112,26,-79
380784,26,-81
381119,26,-87
381454,25,-83
381789,25,-78
382124,25,-82
382795,26,-91
383130,26,-87
383465,26,-82
384149,26,-71
384484,25,-71
384819,25,-71
385154,25,-70
385489,26,-70
385828,26,-70
386502,26,-73
387172,25,-79
387507,25,-83
387842,25,-84
388177,25,-79
389881,26,-76
390216,26,-67
390551,26,-65
390886,26,-60
391221,25,-64
391556,25,-61
391891,26,-62
392227,26,-60
392562,26,-62
393232,25,-76
394331,25,-68
394667,25,-70
395002,26,-68
395338,26,-70
396008,26,-72
396343,25,-73
396678,25,-73
397014,25,-73
397349,26,-74
398020,26,-75
398690,25,-75
399025,25,-72
399360,25,-79
401041,24,-82
402401,24,-85
402736,25,-81
403072,25,-81
404085,25,-85
404755,25,-89
405090,24,-87
405854,24,-88
406189,24,-90
407195,25,-92
407530,25,-86
408200,24,-85
408535,24,-88
409899,24,-91
411242,25,-91
411577,24,-85
412582,25,-84
412918,25,-91
413253,25,-88
413588,25,-86
413923,24,-87
414258,24,-88
414593,25,-86
414928,25,-84
415264,25,-83
416028,25,-84
416363,25,-83
416698,24,-83
417033,25,-86
417368,24,-81
417703,25,-84
418709,26,-84
419741,25,-84
420076,25,-83
420411,24,-84
420746,24,-84
421081,25,-84
421416,25,-83
421752,25,-84
422087,26,-85
422422,26,-84
422757,24,-84
423092,24,-84
423762,26,-83
424098,25,-83
424433,25,-85
424768,26,-83
425103,24,-83
425773,25,-82
426108,26,-82
426875,26,-83
427548,25,-84
427883,25,-84
428218,25,-81
428888,24,-82
429223,26,-83
429894,26,-84
430229,25,-84
430564,25,-81
430899,24,-83
431234,24,-82
431569,26,-72
432271,25,-77
432941,25,-71
433276,26,-72
433612,26,-69
435046,26,-69
435381,24,-88
436051,26,-71
436387,26,-71
437392,24,-94
437727,25,-77
438062,25,-78
438733,25,-80
440073,25,-75
440408,24,-79
440743,25,-86
441079,26,-75
441843,25,-75
442178,26,-70
442513,24,-83
443183,25,-75
443518,25,-89
